"PD_choice","year_birth_1","educ","gender","race","inc_family","religion","pol_1","theme_check","retribution_check","community_check","pd_check","Random.ID","treatment"
"Choice B","1991","College Degree","Male","White","$25,000-$50,000","Catholic","0","Yes","Neither agree nor disagree","Strongly agree","Yes","303556","C"
"Choice A","1978","College Degree","Male","White","Greater than $75,000","Protestan","6","Yes","Somewhat disagree","Somewhat agree","Yes","989563","N"
"Choice B","1994","Some college","Male","White","$0-$25,000","None","0","Yes","Neither agree nor disagree","Strongly agree","Yes","324346","C"
"Choice B","1993","College Degree","Female","White","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Strongly agree","Yes","633366","R"
"Choice B","1973","High school","Male","White","$0-$25,000","None","2","Yes","Somewhat agree","Somewhat agree","Yes","814965","C"
"Choice B","1986","High school","Male","White","$25,000-$50,000","None","4","Yes","Somewhat agree","Somewhat agree","Yes","618788","N"
"Choice A","1971","Some college","Male","White","$25,000-$50,000","None","5","Yes","Neither agree nor disagree","Somewhat agree","Yes","244435","C"
"Choice A","1983","College Degree","Male","White","Greater than $75,000","None","5","Yes","Somewhat agree","Strongly agree","No","668218","C"
"Choice A","1990","Some college","Male","White","$25,000-$50,000","None","2","No","Neither agree nor disagree","Somewhat agree","No","805758","C"
"Choice B","1988","College Degree","Female","White","$25,000-$50,000","None","0","Yes","Somewhat disagree","Somewhat disagree","I do not know","572117","C"
"Choice B","1985","College Degree","Male","White","$25,000-$50,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","No","664067","R"
"Choice B","1991","College Degree","Male","White","$50,000-$75,000","None","3","Yes","Somewhat agree","Somewhat agree","I do not know","158982","R"
"Choice B","1980","College Degree","Male","White","$50,000-$75,000","None","6","Yes","Somewhat agree","Neither agree nor disagree","No","600695","C"
"Choice A","1984","College Degree","Female","White","$0-$25,000","None","0","Yes","Somewhat disagree","Somewhat agree","Yes","295862","R"
"Choice B","1990","Graduate or Professional Degree","Female","White","Greater than $75,000","None","1","Yes","Somewhat agree","Somewhat agree","No","498068","R"
"Choice B","1969","College Degree","Male","White","Greater than $75,000","Protestan","5","Yes","Somewhat disagree","Neither agree nor disagree","Yes","119764","R"
"Choice A","1978","Graduate or Professional Degree","Female","White","Greater than $75,000","Other","0","Yes","Neither agree nor disagree","Somewhat agree","No","849659","C"
"Choice A","1993","High school","Female","White","Greater than $75,000","None","0","Yes","Somewhat agree","Strongly agree","Yes","754130","N"
"Choice B","1992","College Degree","Male","White","$25,000-$50,000","Other","6","Yes","Somewhat disagree","Strongly agree","No","655858","N"
"Choice B","1989","Graduate or Professional Degree","Male","White","Greater than $75,000","None","2","Yes","Somewhat disagree","Somewhat agree","Yes","195033","C"
"Choice A","1991","College Degree","Male","Black or African American","$25,000-$50,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","Yes","200704","R"
"Choice A","1988","Some college","Male","White","$25,000-$50,000","Catholic","9","Yes","Neither agree nor disagree","Strongly agree","Yes","347975","R"
"Choice A","1992","College Degree","Male","White","$50,000-$75,000","None","3","Yes","Somewhat agree","Strongly agree","No","360134","N"
"Choice A","1989","Some college","Male","White","$0-$25,000","None","4","Yes","Strongly agree","Strongly agree","I do not know","526946","N"
"Choice A","1964","College Degree","Male","White","Greater than $75,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","585589","C"
"Choice B","1981","Graduate or Professional Degree","Female","White","Greater than $75,000","Catholic","6","No","Somewhat agree","Strongly agree","Yes","364090","R"
"Choice B","1979","Graduate or Professional Degree","Male","White","$50,000-$75,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","No","899452","N"
"Choice B","1992","Some college","Male","White","$0-$25,000","Other","0","Yes","Somewhat disagree","Neither agree nor disagree","No","962376","R"
"Choice B","1989","Some college","Male","White","$25,000-$50,000","None","4","Yes","Somewhat agree","Somewhat agree","Yes","731718","R"
"Choice B","1990","Graduate or Professional Degree","Male","Asian","$50,000-$75,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","242059","N"
"Choice A","1988","Some college","Male","White","$25,000-$50,000","Protestan","7","Yes","Somewhat agree","Strongly agree","Yes","887326","N"
"Choice A","1983","High school","Male","White","Greater than $75,000","None","4","Yes","Neither agree nor disagree","Neither agree nor disagree","No","698361","N"
"Choice B","1986","College Degree","Male","White","Greater than $75,000","None","0","Yes","Somewhat agree","Strongly agree","Yes","645002","N"
"Choice A","1977","Graduate or Professional Degree","Male","White","$25,000-$50,000","Other","1","Yes","Somewhat agree","Somewhat agree","No","518477","N"
"Choice A","1984","Some college","Female","White","Greater than $75,000","None","1","Yes","Strongly agree","Strongly agree","No","924875","N"
"Choice B","1978","College Degree","Male","White","$25,000-$50,000","None","6","Yes","Somewhat agree","Somewhat disagree","Yes","743777","N"
"Choice A","1981","Some college","Female","White","$50,000-$75,000","None","4","Yes","Somewhat agree","Somewhat disagree","No","901965","C"
"Choice A","1965","Some college","Female","White","$0-$25,000","Other","7","Yes","Somewhat agree","Somewhat agree","I do not know","866803","C"
"Choice B","1984","Graduate or Professional Degree","Male","White","$25,000-$50,000","Catholic","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","492547","N"
"Choice A","1990","High school","Female","White","$50,000-$75,000","None","5","Yes","Somewhat disagree","Somewhat disagree","Yes","947501","C"
"Choice A","1983","Graduate or Professional Degree","Male","White","Greater than $75,000","Catholic","9","Yes","Neither agree nor disagree","Somewhat agree","No","107875","R"
"Choice B","1976","College Degree","Female","Black or African American","$25,000-$50,000","Protestan","8","Yes","Strongly disagree","Strongly agree","No","605697","C"
"Choice A","1988","High school","Female","White","$50,000-$75,000","None","1","Yes","Strongly agree","Somewhat agree","I do not know","543203","N"
"Choice B","1982","College Degree","Male","White","$50,000-$75,000","Other","6","Yes","Somewhat agree","Somewhat agree","Yes","929648","N"
"Choice B","1993","College Degree","Female","White","$25,000-$50,000","None","2","Yes","Somewhat disagree","Somewhat disagree","No","819242","N"
"Choice B","1979","College Degree","Male","White","$50,000-$75,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","762852","N"
"Choice B","1999","High school","Female","White","$0-$25,000","None","3","Yes","Somewhat agree","Strongly agree","No","745764","N"
"Choice A","1995","College Degree","Female","Black or African American","$25,000-$50,000","None","2","Yes","Neither agree nor disagree","Somewhat agree","No","372443","C"
"Choice B","1983","College Degree","Male","Asian","$50,000-$75,000","Catholic","4","Yes","Somewhat disagree","Somewhat agree","Yes","886212","C"
"Choice B","1992","College Degree","Male","White","$0-$25,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","I do not know","832374","R"
"Choice B","1976","College Degree","Female","White","Greater than $75,000","Protestan","10","Yes","Somewhat agree","Somewhat agree","Yes","174809","N"
"Choice B","1994","College Degree","Male","White","Greater than $75,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","Yes","840292","R"
"Choice A","1994","High school","Female","White","Greater than $75,000","Protestan","1","Yes","Somewhat agree","Strongly agree","Yes","384871","N"
"Choice B","1970","College Degree","Male","White","Greater than $75,000","None","6","Yes","Somewhat agree","Somewhat agree","Yes","482035","N"
"Choice B","1979","Some college","Male","White","$25,000-$50,000","None","5","Yes","Strongly agree","Strongly agree","Yes","133912","R"
"Choice A","1988","College Degree","Male","White","$50,000-$75,000","Protestan","9","No","Neither agree nor disagree","Somewhat agree","No","936917","C"
"Choice B","1987","High school","Male","White","Greater than $75,000","Other","6","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","341484","C"
"Choice A","1984","College Degree","Female","White","Greater than $75,000","Protestan","8","Yes","Neither agree nor disagree","Strongly agree","Yes","221140","R"
"Choice A","1984","High school","Male","White","$0-$25,000","None","0","Yes","Neither agree nor disagree","Neither agree nor disagree","No","772429","R"
"Choice A","1967","Graduate or Professional Degree","Male","White","Greater than $75,000","None","7","Yes","Somewhat disagree","Somewhat agree","Yes","611336","C"
"Choice B","1956","Some college","Female","White","Greater than $75,000","Catholic","0","Yes","Strongly disagree","Somewhat agree","No","500700","C"
"Choice A","1990","College Degree","Female","White","$0-$25,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","524994","N"
"Choice B","1986","College Degree","Male","White","$50,000-$75,000","None","1","Yes","Somewhat disagree","Somewhat agree","Yes","278086","R"
"Choice B","1986","College Degree","Female","White","$50,000-$75,000","None","5","Yes","Somewhat disagree","Somewhat agree","No","347386","R"
"Choice A","1983","College Degree","Male","White","Greater than $75,000","Catholic","5","No","Somewhat agree","Strongly agree","No","351517","R"
"Choice A","1993","College Degree","Male","White","$25,000-$50,000","None","0","Yes","Somewhat disagree","Somewhat agree","No","555043","N"
"Choice B","1962","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","1","Yes","Somewhat agree","Strongly agree","No","470278","N"
"Choice A","1970","Graduate or Professional Degree","Male","White","$25,000-$50,000","None","8","No","Somewhat agree","Strongly agree","I do not know","121920","C"
"Choice B","1969","College Degree","Male","White","Greater than $75,000","Other","6","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","935706","R"
"Choice A","1987","College Degree","Male","Latino","Greater than $75,000","Catholic","8","Yes","Somewhat disagree","Somewhat disagree","No","760183","R"
"Choice A","1973","Some college","Male","White","$0-$25,000","None","0","Yes","Neither agree nor disagree","Strongly agree","Yes","546255","C"
"Choice B","1977","Some college","Male","White","Greater than $75,000","Protestan","2","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","166543","C"
"Choice B","1980","College Degree","Female","White","Greater than $75,000","Catholic","6","Yes","Strongly disagree","Strongly agree","Yes","351638","N"
"Choice A","1988","College Degree","Male","Asian","$0-$25,000","None","4","Yes","Neither agree nor disagree","Strongly agree","I do not know","179103","N"
"Choice A","1971","Some college","Female","White","$25,000-$50,000","Catholic","2","Yes","Somewhat disagree","Neither agree nor disagree","Yes","309771","R"
"Choice A","1970","College Degree","Male","Black or African American","Greater than $75,000","Protestan","3","Yes","Somewhat disagree","Strongly disagree","No","225022","R"
"Choice B","1992","Some college","Male","Latino","$25,000-$50,000","Catholic","6","Yes","Somewhat disagree","Somewhat disagree","No","387036","N"
"Choice B","1994","Some college","Male","White","$25,000-$50,000","None","3","Yes","Somewhat agree","Strongly agree","Yes","945322","N"
"Choice B","1972","College Degree","Female","White","Greater than $75,000","Other","1","Yes","Somewhat disagree","Somewhat agree","Yes","794449","R"
"Choice A","1980","High school","Male","White","$0-$25,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","908977","R"
"Choice B","1977","College Degree","Male","White","Greater than $75,000","Protestan","6","No","Neither agree nor disagree","Neither agree nor disagree","No","628975","C"
"Choice B","1972","College Degree","Male","White","Greater than $75,000","Other","1","Yes","Neither agree nor disagree","Strongly agree","Yes","959501","C"
"Choice A","1987","Graduate or Professional Degree","Female","Asian","Greater than $75,000","Catholic","1","Yes","Neither agree nor disagree","Somewhat agree","No","684399","R"
"Choice A","1982","College Degree","Female","White","$25,000-$50,000","None","2","Yes","Somewhat agree","Somewhat agree","I do not know","973484","N"
"Choice B","1994","College Degree","Female","White","Greater than $75,000","None","1","Yes","Somewhat disagree","Somewhat agree","Yes","242805","R"
"Choice B","1980","Some college","Male","White","$25,000-$50,000","Catholic","5","Yes","Somewhat disagree","Neither agree nor disagree","Yes","552992","N"
"Choice B","1985","Some college","Male","White","$25,000-$50,000","None","5","Yes","Strongly agree","Strongly agree","No","894078","R"
"Choice B","1970","High school","Male","White","$25,000-$50,000","None","3","Yes","Neither agree nor disagree","Strongly agree","No","712153","N"
"Choice B","1987","College Degree","Male","Asian","Greater than $75,000","None","2","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","639700","R"
"Choice B","1962","Some college","Female","White","$0-$25,000","Other","1","Yes","Neither agree nor disagree","Somewhat agree","Yes","479237","R"
"Choice B","1979","Graduate or Professional Degree","Male","White","$50,000-$75,000","Protestan","9","Yes","Somewhat agree","Somewhat disagree","No","775740","C"
"Choice B","1979","Graduate or Professional Degree","Female","White","Greater than $75,000","Catholic","3","Yes","Neither agree nor disagree","Neither agree nor disagree","No","408388","C"
"Choice B","1965","College Degree","Male","White","Greater than $75,000","None","0","Yes","Somewhat disagree","Somewhat agree","No","600162","C"
"Choice B","1992","College Degree","Male","Asian","$25,000-$50,000","None","3","Yes","Somewhat agree","Somewhat agree","No","710460","N"
"Choice B","1973","High school","Female","White","Greater than $75,000","None","4","Yes","Somewhat agree","Somewhat agree","Yes","815647","N"
"Choice A","1962","College Degree","Female","White","$25,000-$50,000","None","2","Yes","Somewhat disagree","Somewhat agree","Yes","835474","R"
"Choice A","1952","College Degree","Female","White","Greater than $75,000","Catholic","6","Yes","Neither agree nor disagree","Strongly agree","No","713287","C"
"Choice B","1991","High school","Female","White","$50,000-$75,000","None","7","Yes","Strongly agree","Strongly agree","Yes","957669","C"
"Choice B","1980","College Degree","Male","Asian","$25,000-$50,000","Catholic","2","Yes","Neither agree nor disagree","Strongly agree","No","343627","R"
"Choice A","1989","Some college","Male","Latino","$25,000-$50,000","None","3","No","Somewhat disagree","Somewhat agree","Yes","251548","N"
"Choice B","1977","College Degree","Female","White","Greater than $75,000","None","2","Yes","Strongly disagree","Neither agree nor disagree","I do not know","132197","R"
"Choice B","1992","Graduate or Professional Degree","Female","White","Greater than $75,000","None","5","Yes","Neither agree nor disagree","Somewhat agree","Yes","935506","N"
"Choice B","1991","Some college","Female","White","$25,000-$50,000","Catholic","6","No","Somewhat disagree","Somewhat agree","No","652668","R"
"Choice B","1986","Graduate or Professional Degree","Male","White","Greater than $75,000","None","1","Yes","Somewhat agree","Somewhat agree","Yes","747043","N"
"Choice A","1992","Graduate or Professional Degree","Female","White","$25,000-$50,000","None","1","Yes","Strongly agree","Strongly agree","Yes","855899","R"
"Choice B","1959","College Degree","Female","White","Greater than $75,000","None","1","Yes","Somewhat agree","Strongly agree","No","305101","R"
"Choice B","1967","Some college","Male","White","$0-$25,000","None","2","Yes","Neither agree nor disagree","Neither agree nor disagree","No","368164","R"
"Choice B","1990","Graduate or Professional Degree","Male","White","Greater than $75,000","None","1","Yes","Neither agree nor disagree","Strongly agree","Yes","552159","R"
"Choice B","1981","Graduate or Professional Degree","Male","White","Greater than $75,000","Muslim","2","Yes","Somewhat disagree","Neither agree nor disagree","Yes","534476","R"
"Choice B","1958","High school","Male","White","$50,000-$75,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","373106","C"
"Choice A","1976","Some college","Female","White","$50,000-$75,000","Lutheran","1","Yes","Somewhat disagree","Somewhat disagree","Yes","791695","R"
"Choice A","1963","Some college","Male","White","Greater than $75,000","None","1","Yes","Somewhat disagree","Strongly agree","Yes","521011","N"
"Choice A","1960","High school","Female","White","$25,000-$50,000","Catholic","9","Yes","Strongly agree","Strongly agree","No","899849","N"
"Choice B","1982","College Degree","Male","Black or African American","$50,000-$75,000","None","0","Yes","Strongly agree","Strongly agree","No","569113","R"
"Choice A","1991","Graduate or Professional Degree","Male","White","Greater than $75,000","Other","3","Yes","Somewhat agree","Neither agree nor disagree","No","364594","R"
"Choice B","1980","College Degree","Male","White","Greater than $75,000","None","4","Yes","Somewhat disagree","Somewhat agree","No","813079","C"
"Choice B","1998","College Degree","Male","Asian","$25,000-$50,000","Catholic","6","No","Somewhat agree","Strongly agree","No","659088","N"
"Choice B","1993","College Degree","Male","White","$25,000-$50,000","None","2","No","Neither agree nor disagree","Somewhat agree","No","581207","C"
"Choice B","1989","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","0","Yes","Strongly disagree","Strongly agree","Yes","807854","R"
"Choice A","1974","College Degree","Female","White","$50,000-$75,000","None","6","Yes","Somewhat agree","Somewhat agree","No","645858","N"
"Choice A","1980","Graduate or Professional Degree","Male","White","$0-$25,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","Yes","721346","C"
"Choice B","1991","Some college","Male","Black or African American","$50,000-$75,000","None","5","No","Somewhat agree","Somewhat agree","No","323359","N"
"Choice B","1979","Some college","Female","White","$25,000-$50,000","None","2","Yes","Somewhat agree","Strongly agree","Yes","454330","R"
"Choice A","1983","College Degree","Male","Latino","$25,000-$50,000","None","2","Yes","Somewhat disagree","Strongly agree","No","738405","N"
"Choice A","1978","Some college","Male","White","$25,000-$50,000","Protestan","8","Yes","Neither agree nor disagree","Neither agree nor disagree","No","376418","R"
"Choice B","1960","College Degree","Male","White","$50,000-$75,000","None","6","Yes","Neither agree nor disagree","Somewhat agree","No","256049","N"
"Choice B","1984","Some college","Male","Other","$25,000-$50,000","None","5","Yes","Neither agree nor disagree","Strongly agree","No","646772","N"
"Choice B","1998","College Degree","Female","Asian","$25,000-$50,000","Catholic","1","Yes","Somewhat agree","Strongly agree","No","275922","R"
"Choice A","1985","High school","Female","White","$25,000-$50,000","Protestan","5","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","825206","R"
"Choice A","1988","College Degree","Male","Asian","$25,000-$50,000","Catholic","2","Yes","Somewhat agree","Somewhat agree","No","591719","R"
"Choice A","1975","College Degree","Male","White","$50,000-$75,000","Protestan","6","Yes","Somewhat disagree","Somewhat agree","Yes","154108","C"
"Choice B","1984","Graduate or Professional Degree","Male","White","Greater than $75,000","None","0","Yes","Somewhat disagree","Strongly agree","Yes","790379","C"
"Choice A","1991","College Degree","Male","Black or African American","Greater than $75,000","None","5","No","Neither agree nor disagree","Strongly agree","No","784780","C"
"Choice B","1967","Some college","Male","White","$25,000-$50,000","Muslim","8","No","Somewhat agree","Somewhat disagree","No","433353","R"
"Choice B","1992","Less than High School","Female","White","$25,000-$50,000","None","1","Yes","Somewhat disagree","Somewhat agree","No","877223","C"
"Choice B","1987","College Degree","Male","White","$25,000-$50,000","None","3","Yes","Strongly agree","Strongly agree","Yes","776018","C"
"Choice A","1989","College Degree","Male","Asian","$50,000-$75,000","None","5","No","Neither agree nor disagree","Somewhat disagree","No","574150","R"
"Choice A","1983","High school","Female","Other","$0-$25,000","Protestan","5","Yes","Strongly disagree","Somewhat agree","No","903402","R"
"Choice B","1991","College Degree","Male","White","$25,000-$50,000","None","2","Yes","Neither agree nor disagree","Strongly agree","No","169198","R"
"Choice A","1988","College Degree","Male","White","$25,000-$50,000","None","3","Yes","Somewhat disagree","Neither agree nor disagree","No","224125","R"
"Choice A","1997","College Degree","Female","Black or African American","$0-$25,000","Catholic","4","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","263032","R"
"Choice B","1966","College Degree","Female","White","$25,000-$50,000","Protestan","2","Yes","Strongly disagree","Somewhat disagree","Yes","110733","R"
"Choice B","1985","College Degree","Female","White","$25,000-$50,000","Other","0","Yes","Somewhat agree","Somewhat agree","I do not know","830832","C"
"Choice B","1971","College Degree","Male","White","$25,000-$50,000","None","5","Yes","Strongly disagree","Neither agree nor disagree","No","386545","C"
"Choice A","1984","College Degree","Male","White","$25,000-$50,000","Protestan","10","Yes","Somewhat disagree","Neither agree nor disagree","Yes","145842","N"
"Choice B","1986","College Degree","Male","White","$50,000-$75,000","Catholic","3","No","Neither agree nor disagree","Strongly agree","Yes","891109","R"
"Choice A","1992","College Degree","Male","White","$50,000-$75,000","Muslim","6","No","Somewhat agree","Somewhat agree","No","500209","R"
"Choice B","1971","High school","Male","White","Greater than $75,000","None","7","Yes","Somewhat agree","Somewhat agree","No","589604","N"
"Choice A","1982","Graduate or Professional Degree","Female","White","$50,000-$75,000","Protestan","6","No","Neither agree nor disagree","Somewhat disagree","No","396164","C"
"Choice B","1969","College Degree","Female","White","$0-$25,000","Protestan","6","Yes","Somewhat agree","Neither agree nor disagree","Yes","694476","C"
"Choice B","1979","College Degree","Male","White","$50,000-$75,000","Protestan","2","No","Somewhat disagree","Strongly disagree","No","547315","C"
"Choice A","1970","College Degree","Female","White","Greater than $75,000","Protestan","5","Yes","Strongly disagree","Somewhat agree","No","430049","R"
"Choice B","1983","Some college","Female","White","$25,000-$50,000","None","3","Yes","Somewhat agree","Somewhat agree","Yes","831811","R"
"Choice A","1956","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","1","Yes","Somewhat agree","Strongly agree","No","605457","R"
"Choice B","1988","Some college","Female","White","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Strongly agree","No","952183","C"
"Choice A","1988","High school","Male","White","$0-$25,000","None","5","Yes","Strongly agree","Strongly agree","No","735365","C"
"Choice B","1987","College Degree","Male","White","$50,000-$75,000","Other","1","Yes","Strongly agree","Strongly agree","No","517509","N"
"Choice A","1990","Some college","Female","Latino","$0-$25,000","Catholic","1","Yes","Neither agree nor disagree","Strongly disagree","Yes","314728","C"
"Choice B","1989","College Degree","Male","Black or African American","$50,000-$75,000","Protestan","2","No","Strongly disagree","Strongly agree","Yes","475225","C"
"Choice A","1976","Some college","Male","White","$25,000-$50,000","None","2","Yes","Neither agree nor disagree","Strongly agree","No","191170","C"
"Choice B","1990","Some college","Female","White","$25,000-$50,000","None","4","No","Somewhat agree","Strongly agree","No","154413","C"
"Choice B","1980","College Degree","Male","White","Greater than $75,000","Catholic","5","No","Somewhat agree","Somewhat agree","No","420413","R"
"Choice B","1976","College Degree","Male","White","$50,000-$75,000","None","9","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","886714","C"
"Choice B","1990","Some college","Male","White","$0-$25,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","No","185974","R"
"Choice B","1994","High school","Male","White","$0-$25,000","Protestan","2","No","Neither agree nor disagree","Somewhat agree","No","174345","N"
"Choice A","1987","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","2","Yes","Neither agree nor disagree","Strongly agree","Yes","225193","R"
"Choice B","1995","Graduate or Professional Degree","Female","Asian","Greater than $75,000","Other","3","Yes","Neither agree nor disagree","Strongly agree","Yes","232391","R"
"Choice A","1985","Graduate or Professional Degree","Male","White","Greater than $75,000","None","7","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","252933","R"
"Choice A","1995","College Degree","Female","White","$50,000-$75,000","None","2","Yes","Somewhat disagree","Somewhat agree","Yes","197181","C"
"Choice A","1986","Some college","Female","Other","$25,000-$50,000","None","4","Yes","Strongly agree","Strongly agree","Yes","457105","N"
"Choice B","1976","Graduate or Professional Degree","Male","Asian","Greater than $75,000","None","5","Yes","Somewhat agree","Somewhat agree","No","528478","N"
"Choice A","1985","College Degree","Male","White","$50,000-$75,000","Catholic","9","No","Somewhat agree","Somewhat agree","No","269277","N"
"Choice B","1979","College Degree","Female","White","$25,000-$50,000","Protestan","7","Yes","Somewhat disagree","Somewhat disagree","No","739596","N"
"Choice B","1975","Some college","Female","White","$0-$25,000","None","1","Yes","Somewhat disagree","Strongly agree","No","120253","R"
"Choice A","1984","Less than High School","Female","White","$0-$25,000","Other","2","Yes","Strongly agree","Strongly agree","I do not know","908770","R"
"Choice B","1975","Some college","Female","White","Greater than $75,000","None","6","Yes","Somewhat disagree","Strongly agree","No","253228","N"
"Choice A","1968","College Degree","Female","White","$50,000-$75,000","None","1","Yes","Somewhat disagree","Strongly agree","No","197093","C"
"Choice B","1963","High school","Male","White","$25,000-$50,000","None","5","Yes","Somewhat disagree","Neither agree nor disagree","No","785052","C"
"Choice B","1987","College Degree","Male","White","$50,000-$75,000","Catholic","6","Yes","Somewhat agree","Somewhat agree","No","436608","R"
"Choice A","1956","College Degree","Male","White","$0-$25,000","None","6","Yes","Strongly agree","Strongly agree","No","989046","R"
"Choice B","1991","College Degree","Male","White","$25,000-$50,000","Catholic","8","No","Neither agree nor disagree","Somewhat agree","No","921947","R"
"Choice B","1988","Graduate or Professional Degree","Male","White","$25,000-$50,000","Catholic","10","Yes","Somewhat disagree","Somewhat disagree","No","409228","N"
"Choice A","1977","High school","Female","White","Greater than $75,000","Protestan","8","Yes","Somewhat agree","Somewhat agree","Yes","965864","R"
"Choice A","1977","College Degree","Male","White","Greater than $75,000","Protestan","9","Yes","Somewhat agree","Strongly disagree","No","423472","C"
"Choice B","1972","Graduate or Professional Degree","Male","Asian","$50,000-$75,000","None","5","Yes","Neither agree nor disagree","Strongly agree","I do not know","545888","C"
"Choice A","1985","Some college","Female","White","$25,000-$50,000","None","4","No","Somewhat agree","Somewhat agree","No","864739","N"
"Choice B","1950","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","0","Yes","Strongly disagree","Strongly agree","No","662296","R"
"Choice B","1986","Some college","Male","Black or African American","$50,000-$75,000","Catholic","2","Yes","Somewhat agree","Somewhat agree","Yes","252978","R"
"Choice B","1979","College Degree","Male","White","$50,000-$75,000","Catholic","4","No","Neither agree nor disagree","Neither agree nor disagree","No","674562","N"
"Choice A","1957","College Degree","Male","White","$25,000-$50,000","Catholic","6","Yes","Neither agree nor disagree","Neither agree nor disagree","No","399956","R"
"Choice B","1995","College Degree","Male","Other","Greater than $75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","Yes","487414","R"
"Choice A","1993","College Degree","Female","Black or African American","$50,000-$75,000","Catholic","0","Yes","Somewhat agree","Strongly agree","No","547642","R"
"Choice B","1994","College Degree","Female","Black or African American","$50,000-$75,000","Protestan","3","Yes","Strongly agree","Strongly agree","No","577937","N"
"Choice B","1987","College Degree","Male","White","$50,000-$75,000","None","5","No","Somewhat disagree","Neither agree nor disagree","No","751722","C"
"Choice A","1989","College Degree","Female","White","$50,000-$75,000","None","2","No","Somewhat agree","Somewhat agree","No","639229","N"
"Choice B","1982","Graduate or Professional Degree","Male","Asian","$50,000-$75,000","Other","4","Yes","Somewhat agree","Somewhat agree","No","810020","N"
"Choice A","1986","Some college","Female","White","$0-$25,000","Protestan","10","No","Somewhat disagree","Somewhat agree","No","648454","R"
"Choice B","1983","Some college","Male","Latino","Greater than $75,000","Catholic","6","Yes","Somewhat agree","Somewhat agree","No","878612","R"
"Choice B","1978","Graduate or Professional Degree","Female","White","$50,000-$75,000","None","0","Yes","Strongly agree","Strongly agree","Yes","946071","N"
"Choice B","1988","College Degree","Male","White","$50,000-$75,000","Catholic","3","Yes","Somewhat agree","Strongly agree","I do not know","854453","N"
"Choice A","1954","Graduate or Professional Degree","Male","","$50,000-$75,000","Protestan","10","No","Somewhat agree","Strongly agree","No","661039","R"
"Choice A","1984","Some college","Male","White","$50,000-$75,000","None","0","No","Neither agree nor disagree","Neither agree nor disagree","No","789966","C"
"Choice B","1971","High school","Female","White","$50,000-$75,000","None","4","Yes","Somewhat agree","Neither agree nor disagree","No","762313","C"
