"PD_choice","year_birth_1","educ","gender","race","inc_family","religion","pol_1","theme_check","retribution_check","community_check","pd_check","Random.ID","treatment"
"Choice A","1995","College Degree","","White","$50,000-$75,000","Catholic","4","Yes","Strongly disagree","Neither agree nor disagree","No","559482","R"
"Choice B","2000","Some college","Male","Asian","Greater than $75,000","None","2","Yes","Somewhat disagree","Somewhat disagree","No","977915","C"
"Choice B","1953","Some college","Male","Asian","$25,000-$50,000","None","8","Yes","Somewhat agree","Neither agree nor disagree","Yes","969995","R"
"Choice A","1957","College Degree","Male","White","Greater than $75,000","Protestan","8","Yes","Neither agree nor disagree","Neither agree nor disagree","No","894077","C"
"Choice A","1995","College Degree","Male","Black or African American","Greater than $75,000","Protestan","1","No","Somewhat agree","Strongly agree","No","755403","N"
"Choice A","1965","College Degree","Male","White","$50,000-$75,000","Catholic","6","No","Strongly disagree","Neither agree nor disagree","Yes","449552","R"
"Choice A","1982","College Degree","Female","Black or African American","$25,000-$50,000","Protestan","5","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","574287","R"
"Choice B","1994","College Degree","Male","White","$50,000-$75,000","Protestan","3","No","Somewhat disagree","Neither agree nor disagree","No","965967","C"
"Choice B","1957","College Degree","Female","White","$0-$25,000","Protestan","10","Yes","Strongly disagree","Neither agree nor disagree","No","762157","N"
"Choice A","1972","College Degree","Female","White","$25,000-$50,000","Catholic","10","No","Strongly disagree","Strongly disagree","I do not know","717696","N"
"Choice A","1949","College Degree","Female","White","$0-$25,000","Catholic","8","Yes","Somewhat disagree","Somewhat disagree","Yes","468692","R"
"Choice A","1995","College Degree","Male","White","$25,000-$50,000","Catholic","8","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","213542","R"
"Choice A","1961","College Degree","Female","White","$50,000-$75,000","Catholic","1","Yes","Neither agree nor disagree","Strongly agree","No","363552","N"
"Choice A","1999","Some college","Female","White","$50,000-$75,000","Catholic","2","No","Somewhat agree","Neither agree nor disagree","No","872114","R"
"Choice B","1985","Some college","Other","White","$50,000-$75,000","Protestan","1","Yes","Somewhat agree","Strongly agree","Yes","280547","C"
"Choice A","1959","College Degree","Male","White","Greater than $75,000","None","1","Yes","Strongly disagree","Somewhat disagree","No","769131","N"
"Choice A","1991","College Degree","Male","Asian","Greater than $75,000","None","5","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","415794","R"
"Choice B","1978","High school","Female","White","$0-$25,000","Protestan","5","Yes","Neither agree nor disagree","Neither agree nor disagree","No","111024","N"
"Choice B","1984","Some college","Male","White","$25,000-$50,000","None","1","Yes","Somewhat agree","Strongly agree","No","441863","N"
"Choice A","1979","College Degree","Male","Latino","$25,000-$50,000","Catholic","7","No","Somewhat disagree","Neither agree nor disagree","I do not know","425857","N"
"Choice B","1995","College Degree","Male","White","$25,000-$50,000","None","1","Yes","Strongly disagree","Somewhat disagree","No","402950","R"
"Choice B","1993","College Degree","Male","Black or African American","$0-$25,000","None","2","No","Somewhat agree","Neither agree nor disagree","I do not know","778086","R"
"Choice B","1985","College Degree","Male","White","$50,000-$75,000","Protestan","6","No","Neither agree nor disagree","Somewhat agree","No","409269","N"
"Choice B","1994","Graduate or Professional Degree","Female","Black or African American","$25,000-$50,000","Catholic","10","Yes","Somewhat agree","Neither agree nor disagree","No","573680","C"
"Choice B","1989","Graduate or Professional Degree","Male","Asian","Greater than $75,000","Lutheran","5","No","Neither agree nor disagree","Somewhat agree","No","761949","N"
"Choice A","1983","High school","Male","White","$25,000-$50,000","None","5","Yes","Neither agree nor disagree","Somewhat agree","Yes","613785","R"
"Choice B","1966","College Degree","Male","Latino","Greater than $75,000","Protestan","8","Yes","Somewhat disagree","Somewhat disagree","No","763511","R"
"Choice A","1967","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","0","No","Somewhat agree","Somewhat agree","No","631847","R"
"Choice A","1984","Some college","Male","White","$50,000-$75,000","None","3","No","Neither agree nor disagree","Somewhat agree","No","120983","N"
"Choice A","1962","College Degree","Male","White","$0-$25,000","Protestan","8","Yes","Strongly disagree","Strongly disagree","No","649865","N"
"Choice A","1976","College Degree","Female","White","$25,000-$50,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","765621","N"
"Choice B","1977","Graduate or Professional Degree","Female","Black or African American","Greater than $75,000","Other","2","Yes","Strongly disagree","Strongly agree","No","678823","R"
"Choice B","1981","College Degree","Male","White","Greater than $75,000","None","4","Yes","Strongly disagree","Strongly disagree","No","169400","N"
"Choice A","1990","Some college","Male","Black or African American","$25,000-$50,000","Protestan","5","No","Somewhat agree","Somewhat agree","No","228350","C"
"Choice B","1999","College Degree","Female","White","$0-$25,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","373071","C"
"Choice B","1987","High school","Male","Black or African American","$50,000-$75,000","None","4","Yes","Somewhat disagree","Somewhat agree","No","525522","C"
"Choice A","1993","High school","Male","White","$0-$25,000","Other","0","Yes","Somewhat agree","Somewhat disagree","Yes","690629","C"
"Choice A","1984","Graduate or Professional Degree","Female","Black or African American","Greater than $75,000","Protestan","5","No","Somewhat disagree","Strongly agree","Yes","221702","N"
"Choice B","1962","High school","Male","White","$0-$25,000","Protestan","10","No","Somewhat agree","Somewhat agree","No","429872","N"
"Choice B","1965","Some college","Female","White","$25,000-$50,000","Protestan","8","No","Strongly disagree","Strongly disagree","No","127063","R"
"Choice B","1975","College Degree","Male","White","$50,000-$75,000","Protestan","2","No","Somewhat agree","Somewhat agree","No","630978","N"
"Choice B","1988","Some college","Male","White","$25,000-$50,000","None","0","Yes","Strongly agree","Strongly agree","No","645283","R"
"Choice B","1988","High school","Male","White","Greater than $75,000","None","7","Yes","Somewhat agree","Somewhat agree","No","997728","R"
"Choice A","1961","College Degree","Female","White","Greater than $75,000","None","2","No","Neither agree nor disagree","Somewhat agree","Yes","253334","R"
"Choice A","1961","Some college","Female","White","Greater than $75,000","Protestan","9","Yes","Strongly disagree","Somewhat agree","Yes","372368","R"
"Choice B","1985","Graduate or Professional Degree","Male","White","Greater than $75,000","None","1","Yes","Somewhat agree","Strongly agree","No","591958","N"
"Choice A","1959","College Degree","Female","White","$25,000-$50,000","Lutheran","9","Yes","Somewhat disagree","Somewhat agree","I do not know","822527","N"
"Choice B","1947","Some college","Male","White","$25,000-$50,000","Protestan","4","Yes","Somewhat agree","Strongly agree","Yes","831334","R"
"Choice B","1996","College Degree","Male","White","$50,000-$75,000","Protestan","2","Yes","Somewhat agree","Somewhat agree","No","821333","C"
"Choice B","1988","Graduate or Professional Degree","Male","White","Greater than $75,000","None","7","Yes","Somewhat agree","Strongly agree","No","590709","R"
"Choice A","1950","College Degree","Female","White","$0-$25,000","Catholic","4","Yes","Neither agree nor disagree","Somewhat agree","No","966978","R"
"Choice B","1991","High school","Male","White","$25,000-$50,000","None","6","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","361064","N"
"Choice B","1981","College Degree","Male","White","Greater than $75,000","Protestan","4","No","Somewhat agree","Strongly agree","Yes","912098","N"
"Choice A","1996","Graduate or Professional Degree","Female","White","$0-$25,000","Protestan","2","Yes","Strongly disagree","Somewhat agree","No","156974","N"
"Choice A","1973","Some college","Female","White","Greater than $75,000","Protestan","10","Yes","Somewhat disagree","Somewhat agree","No","268960","R"
"Choice A","1966","Graduate or Professional Degree","Male","White","$25,000-$50,000","None","5","Yes","Strongly agree","Strongly agree","Yes","167681","R"
"Choice B","1990","High school","Female","White","$50,000-$75,000","None","2","Yes","Neither agree nor disagree","Somewhat agree","Yes","978481","N"
"Choice B","1997","Some college","Male","White","$0-$25,000","None","3","Yes","Somewhat agree","Somewhat disagree","No","180002","C"
"Choice B","1972","College Degree","Male","White","$50,000-$75,000","None","4","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","770202","C"
"Choice A","1975","Graduate or Professional Degree","Female","White","$50,000-$75,000","Lutheran","5","Yes","Somewhat agree","Somewhat agree","I do not know","713618","R"
"Choice B","1982","College Degree","Male","White","Greater than $75,000","None","1","Yes","Neither agree nor disagree","Strongly agree","No","649909","N"
"Choice A","1990","College Degree","Male","White","Greater than $75,000","Lutheran","6","Yes","Somewhat disagree","Somewhat agree","No","218091","R"
"Choice B","1974","College Degree","Female","White","Greater than $75,000","None","4","Yes","Somewhat agree","Strongly agree","Yes","726210","N"
"Choice A","1992","Some college","Female","White","$0-$25,000","None","1","Yes","Neither agree nor disagree","Strongly agree","Yes","724583","N"
"Choice B","1978","Graduate or Professional Degree","Female","White","Greater than $75,000","Jewish","1","Yes","Strongly agree","Strongly agree","No","414162","R"
"Choice B","1994","College Degree","Male","White","$25,000-$50,000","None","6","Yes","Somewhat agree","Strongly agree","No","507916","C"
"Choice B","1987","Graduate or Professional Degree","Male","White","Greater than $75,000","None","5","Yes","Somewhat disagree","Somewhat agree","Yes","158503","N"
"Choice B","1991","College Degree","Male","White","Greater than $75,000","None","1","Yes","Neither agree nor disagree","Somewhat agree","No","914890","N"
"Choice A","1984","College Degree","Female","White","Greater than $75,000","None","2","No","Neither agree nor disagree","Strongly agree","No","696760","N"
"Choice A","1993","Graduate or Professional Degree","Male","White","$0-$25,000","Protestan","0","Yes","Somewhat disagree","Somewhat agree","Yes","410570","R"
"Choice A","1980","College Degree","Male","White","$50,000-$75,000","Catholic","5","Yes","Somewhat disagree","Neither agree nor disagree","No","533347","N"
"Choice A","1963","College Degree","Male","White","$25,000-$50,000","Catholic","6","Yes","Neither agree nor disagree","Strongly agree","No","944345","N"
"Choice A","1994","High school","Male","White","$25,000-$50,000","Other","0","Yes","Somewhat disagree","Somewhat agree","No","729602","R"
"Choice A","1985","College Degree","Male","White","$25,000-$50,000","Catholic","8","No","Neither agree nor disagree","Somewhat agree","Yes","834178","R"
"Choice B","1950","College Degree","Female","White","$25,000-$50,000","Protestan","3","Yes","Somewhat agree","Strongly agree","No","464334","N"
"Choice B","1992","College Degree","Female","White","Greater than $75,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","105829","R"
"Choice A","1992","College Degree","Female","White","$50,000-$75,000","None","3","Yes","Strongly disagree","Somewhat agree","Yes","247324","N"
"Choice A","1976","High school","Female","White","$50,000-$75,000","None","5","No","Somewhat disagree","Somewhat agree","No","945385","N"
"Choice A","1985","College Degree","Female","Black or African American","$50,000-$75,000","Protestan","2","Yes","Somewhat agree","Strongly agree","No","519088","R"
"Choice B","1974","Some college","Female","Latino","$50,000-$75,000","None","4","No","Strongly agree","Somewhat agree","No","586117","N"
"Choice B","1994","Graduate or Professional Degree","Female","White","$0-$25,000","None","4","Yes","Somewhat disagree","Somewhat agree","No","400799","R"
"Choice A","1977","College Degree","Female","White","Greater than $75,000","None","0","Yes","Somewhat disagree","Somewhat agree","Yes","717563","C"
"Choice B","1994","Some college","Female","Other","$25,000-$50,000","None","2","Yes","Somewhat agree","Somewhat agree","No","868721","R"
"Choice B","1985","College Degree","Male","White","$25,000-$50,000","Catholic","7","Yes","Neither agree nor disagree","Somewhat agree","Yes","156847","R"
"Choice A","1986","College Degree","Male","Latino","Greater than $75,000","Catholic","2","No","Strongly agree","Somewhat agree","No","196220","R"
"Choice B","1992","High school","Male","White","$25,000-$50,000","None","5","Yes","Neither agree nor disagree","Neither agree nor disagree","No","361888","N"
"Choice B","1984","Graduate or Professional Degree","Female","White","","None","0","Yes","Strongly agree","Strongly agree","Yes","297683","R"
"Choice B","1985","College Degree","Female","Latino","$25,000-$50,000","Catholic","1","Yes","Neither agree nor disagree","Strongly agree","No","970336","R"
"Choice B","1979","College Degree","Female","Black or African American","$25,000-$50,000","Protestan","6","Yes","Neither agree nor disagree","Neither agree nor disagree","No","557760","R"
"Choice A","1985","Some college","Female","White","$25,000-$50,000","Catholic","4","No","Strongly disagree","Neither agree nor disagree","No","654792","N"
"Choice A","1991","College Degree","Male","White","Greater than $75,000","None","0","Yes","Somewhat disagree","Strongly agree","No","388560","R"
"Choice B","1984","College Degree","Male","White","$25,000-$50,000","None","6","Yes","Somewhat agree","Somewhat agree","No","146243","C"
"Choice A","1988","College Degree","Female","Asian","Greater than $75,000","None","4","Yes","Somewhat agree","Strongly agree","Yes","540131","N"
"Choice B","1978","College Degree","Female","White","$50,000-$75,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","Yes","895269","C"
"Choice B","1972","College Degree","Male","White","Greater than $75,000","None","1","No","Somewhat disagree","Somewhat agree","Yes","162236","R"
"Choice B","1981","Graduate or Professional Degree","Male","White","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","No","825435","C"
"Choice B","1993","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","6","Yes","Somewhat disagree","Neither agree nor disagree","No","694570","R"
"Choice A","1993","Some college","Female","White","$25,000-$50,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","775690","N"
"Choice B","1988","College Degree","Male","Latino","Greater than $75,000","Protestan","4","Yes","Strongly disagree","Somewhat agree","No","608532","N"
"Choice A","1975","College Degree","Female","White","$25,000-$50,000","Protestan","2","Yes","Somewhat disagree","Neither agree nor disagree","Yes","547809","R"
"Choice B","1972","College Degree","Female","White","Greater than $75,000","Protestan","3","Yes","Neither agree nor disagree","Somewhat agree","No","259409","C"
"Choice B","1986","College Degree","Female","White","$50,000-$75,000","Other","6","Yes","Strongly disagree","Somewhat agree","No","648361","R"
"Choice B","1991","College Degree","Male","Asian","$25,000-$50,000","Catholic","1","Yes","Somewhat agree","Strongly agree","No","653681","C"
"Choice B","1978","Some college","Male","White","$0-$25,000","None","3","Yes","Strongly disagree","Neither agree nor disagree","No","243286","N"
"Choice A","1988","Some college","Female","White","Greater than $75,000","None","0","Yes","Strongly agree","Strongly agree","No","367873","C"
"Choice A","1962","College Degree","Male","White","$50,000-$75,000","None","3","Yes","Somewhat disagree","Strongly agree","Yes","338310","N"
"Choice B","1992","Graduate or Professional Degree","Female","White","Greater than $75,000","Protestan","3","Yes","Neither agree nor disagree","Somewhat agree","No","228711","N"
"Choice A","1987","Graduate or Professional Degree","Male","White","Greater than $75,000","None","5","Yes","Neither agree nor disagree","Strongly agree","No","922800","C"
"Choice B","1997","College Degree","Female","White","$25,000-$50,000","None","1","Yes","Somewhat disagree","Somewhat agree","Yes","252609","N"
"Choice B","1993","College Degree","Female","White","Greater than $75,000","Catholic","4","Yes","Somewhat agree","Neither agree nor disagree","Yes","701975","R"
"Choice A","1980","Some college","","White","Greater than $75,000","Protestan","10","Yes","Somewhat agree","Somewhat agree","No","343204","R"
"Choice A","1982","Some college","Female","Latino","$25,000-$50,000","None","5","Yes","Somewhat agree","Strongly agree","Yes","589914","R"
"Choice B","1971","College Degree","Male","White","Greater than $75,000","Catholic","9","Yes","Somewhat agree","Somewhat agree","No","509859","C"
"Choice A","1979","Graduate or Professional Degree","Female","Asian","Greater than $75,000","None","5","Yes","Neither agree nor disagree","Somewhat agree","No","681206","C"
"Choice B","1990","Some college","Female","White","$25,000-$50,000","None","2","Yes","Neither agree nor disagree","Somewhat agree","Yes","236951","C"
"Choice A","1975","College Degree","Female","White","$50,000-$75,000","Catholic","3","Yes","Somewhat disagree","Neither agree nor disagree","No","748603","R"
"Choice A","1987","Graduate or Professional Degree","Male","White","$25,000-$50,000","Catholic","8","No","Somewhat agree","Somewhat agree","No","149253","R"
"Choice A","1981","College Degree","Male","White","Greater than $75,000","Catholic","9","Yes","Somewhat agree","Somewhat disagree","Yes","184100","N"
"Choice A","1968","College Degree","Female","White","Greater than $75,000","Lutheran","10","Yes","Neither agree nor disagree","Somewhat disagree","No","373997","N"
"Choice B","1982","Graduate or Professional Degree","Male","White","Greater than $75,000","None","3","Yes","Somewhat disagree","Neither agree nor disagree","No","257232","N"
"Choice A","1976","College Degree","Male","White","$50,000-$75,000","None","1","Yes","Somewhat disagree","Neither agree nor disagree","Yes","837403","R"
"Choice A","1978","College Degree","Female","White","$50,000-$75,000","Other","8","Yes","Somewhat disagree","Somewhat disagree","Yes","931020","N"
"Choice B","1962","Some college","Female","White","$25,000-$50,000","None","0","Yes","Strongly disagree","Strongly agree","Yes","651286","R"
"Choice A","1972","Graduate or Professional Degree","Male","White","Greater than $75,000","None","7","No","Somewhat agree","Somewhat agree","No","358075","R"
"Choice A","1972","College Degree","Female","Other","$50,000-$75,000","Protestan","8","Yes","Neither agree nor disagree","Neither agree nor disagree","No","141979","C"
"Choice B","1997","College Degree","Male","Black or African American","$25,000-$50,000","Protestan","5","Yes","Somewhat agree","Somewhat agree","No","735816","R"
"Choice B","1976","Graduate or Professional Degree","Female","White","Greater than $75,000","Protestan","9","Yes","Somewhat disagree","Somewhat agree","Yes","382102","C"
"Choice A","1982","Some college","Male","White","$0-$25,000","Protestan","1","Yes","Neither agree nor disagree","Strongly agree","No","826422","N"
"Choice B","1996","High school","Male","Black or African American","$50,000-$75,000","Protestan","4","Yes","Somewhat disagree","Strongly disagree","No","594535","C"
"Choice A","1985","College Degree","Male","White","Greater than $75,000","Catholic","4","Yes","Neither agree nor disagree","Neither agree nor disagree","No","527543","N"
"Choice B","1980","College Degree","Male","Asian","Greater than $75,000","Other","6","Yes","Neither agree nor disagree","Somewhat agree","I do not know","319269","R"
"Choice B","1988","College Degree","Male","Latino","$25,000-$50,000","Catholic","10","Yes","Somewhat agree","Somewhat disagree","I do not know","838052","C"
"Choice B","1982","Graduate or Professional Degree","Male","Asian","Greater than $75,000","Other","3","Yes","Somewhat agree","Strongly agree","No","319267","R"
"Choice A","1996","College Degree","Female","Latino","$0-$25,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","No","849853","R"
"Choice B","1991","College Degree","Female","White","$50,000-$75,000","Catholic","6","Yes","Strongly disagree","Somewhat agree","No","524358","C"
"Choice B","1993","College Degree","Male","Other","Greater than $75,000","Protestan","5","No","Neither agree nor disagree","Neither agree nor disagree","No","812506","N"
"Choice A","1974","College Degree","Female","White","$50,000-$75,000","Protestan","8","Yes","Neither agree nor disagree","Somewhat agree","Yes","997894","N"
"Choice A","1987","College Degree","Female","White","Greater than $75,000","Other","10","Yes","Neither agree nor disagree","Somewhat agree","No","442256","N"
"Choice A","1958","Some college","Male","White","$0-$25,000","Protestan","8","Yes","Somewhat disagree","Somewhat disagree","No","277190","R"
"Choice B","1990","Some college","Female","White","$0-$25,000","Catholic","10","Yes","Somewhat disagree","Strongly disagree","Yes","711404","R"
"Choice A","1985","Some college","Female","White","$0-$25,000","Protestan","5","Yes","Somewhat disagree","Somewhat disagree","Yes","505920","N"
"Choice B","1977","Some college","Female","Other","Greater than $75,000","Protestan","4","Yes","Strongly disagree","Strongly agree","No","745295","R"
"Choice A","1968","Some college","Male","White","$25,000-$50,000","Protestan","10","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","414769","R"
"Choice B","1961","College Degree","Female","White","Greater than $75,000","None","9","No","Neither agree nor disagree","Somewhat agree","No","200179","R"
"Choice A","1982","College Degree","Female","White","$50,000-$75,000","Protestan","0","No","Neither agree nor disagree","Somewhat agree","No","887451","C"
"Choice A","1982","Some college","","White","$50,000-$75,000","Protestan","6","Yes","Neither agree nor disagree","Strongly agree","No","450666","C"
"Choice B","1964","High school","Male","White","$25,000-$50,000","Protestan","3","Yes","Somewhat disagree","Somewhat agree","No","538815","N"
"Choice A","1986","Some college","Male","White","$25,000-$50,000","Muslim","1","Yes","Somewhat agree","Strongly agree","No","759983","R"
"Choice A","1992","College Degree","Female","Asian","Greater than $75,000","None","5","No","Neither agree nor disagree","Somewhat agree","I do not know","826855","N"
"Choice B","1974","College Degree","Male","White","$50,000-$75,000","Catholic","6","Yes","Somewhat agree","Neither agree nor disagree","No","912770","C"
"Choice B","1969","High school","Female","White","Greater than $75,000","Protestan","8","Yes","Somewhat agree","Somewhat agree","No","492912","R"
"Choice B","1985","College Degree","Male","White","$0-$25,000","None","5","Yes","Somewhat disagree","Neither agree nor disagree","No","544677","R"
"Choice B","1974","College Degree","Male","White","$50,000-$75,000","Protestan","2","Yes","Neither agree nor disagree","Somewhat agree","Yes","242731","C"
"Choice B","1988","College Degree","Female","White","Greater than $75,000","Protestan","7","Yes","Somewhat disagree","Somewhat agree","No","588145","C"
"Choice B","1957","Graduate or Professional Degree","Male","Asian","$50,000-$75,000","Protestan","2","No","Somewhat agree","Somewhat agree","Yes","518627","N"
"Choice B","1949","College Degree","Male","White","$25,000-$50,000","Protestan","7","Yes","Somewhat disagree","Somewhat agree","No","366677","R"
"Choice B","1962","College Degree","Female","White","$0-$25,000","Catholic","0","Yes","Somewhat agree","Strongly agree","No","567452","C"
"Choice B","1969","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","5","Yes","Somewhat disagree","Somewhat agree","Yes","576863","C"
"Choice B","1991","High school","Male","White","Greater than $75,000","None","8","Yes","Neither agree nor disagree","Somewhat agree","Yes","602922","C"
"Choice B","1972","High school","Female","White","$50,000-$75,000","None","8","Yes","Strongly agree","Neither agree nor disagree","No","780590","N"
"Choice B","1979","Graduate or Professional Degree","Male","Asian","Greater than $75,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","Yes","804017","R"
"Choice B","1975","College Degree","Female","White","$25,000-$50,000","None","0","Yes","Strongly disagree","Strongly agree","No","792950","N"
"Choice A","1993","College Degree","Male","White","$25,000-$50,000","None","2","Yes","Strongly disagree","Strongly agree","Yes","127078","C"
"Choice A","1989","Some college","Female","Black or African American","$50,000-$75,000","Catholic","8","No","Somewhat agree","Neither agree nor disagree","No","716935","C"
"Choice B","1955","College Degree","Male","White","$25,000-$50,000","Catholic","2","Yes","Somewhat disagree","Somewhat agree","No","318286","R"
"Choice B","1983","High school","Female","White","Greater than $75,000","Catholic","5","Yes","Somewhat agree","Strongly agree","No","141289","N"
"Choice B","1972","Some college","Male","White","$0-$25,000","None","3","Yes","Neither agree nor disagree","Somewhat agree","Yes","528528","R"
"Choice B","1968","Graduate or Professional Degree","Female","White","Greater than $75,000","Protestan","5","Yes","Strongly agree","Strongly agree","Yes","871403","R"
"Choice B","1991","High school","Male","Latino","$25,000-$50,000","None","5","Yes","Strongly agree","Strongly agree","No","285595","N"
"Choice B","1986","College Degree","Male","American Indian or Alaska Native","$25,000-$50,000","Catholic","7","Yes","Somewhat agree","Neither agree nor disagree","Yes","384244","C"
"Choice A","1991","Some college","Male","American Indian or Alaska Native","$25,000-$50,000","None","1","Yes","Strongly agree","Somewhat agree","Yes","811005","C"
"Choice B","1978","Some college","Male","White","$50,000-$75,000","None","6","Yes","Somewhat agree","Strongly agree","No","359742","C"
"Choice A","1949","Graduate or Professional Degree","Female","White","$50,000-$75,000","Protestan","8","No","Strongly disagree","Neither agree nor disagree","No","373326","C"
"Choice B","1967","Graduate or Professional Degree","Female","White","$25,000-$50,000","Catholic","5","Yes","Neither agree nor disagree","Strongly agree","No","847013","C"
"Choice A","1988","Graduate or Professional Degree","Male","Black or African American","$25,000-$50,000","Catholic","9","No","Somewhat agree","Strongly agree","No","265175","R"
"Choice B","1997","College Degree","Female","Latino","$50,000-$75,000","None","2","Yes","Somewhat agree","Strongly agree","No","242305","N"
"Choice B","1983","Graduate or Professional Degree","Male","White","Greater than $75,000","Protestan","9","Yes","Somewhat disagree","Neither agree nor disagree","No","510911","N"
"Choice A","1993","College Degree","Female","White","$25,000-$50,000","Catholic","6","No","Somewhat agree","Neither agree nor disagree","No","889947","C"
"Choice A","1998","College Degree","Female","White","$50,000-$75,000","Protestan","6","Yes","Somewhat agree","Somewhat agree","No","758131","N"
"Choice B","1984","College Degree","Female","Black or African American","$25,000-$50,000","Other","0","Yes","Neither agree nor disagree","Strongly agree","No","335742","C"
"Choice A","1998","College Degree","Female","Black or African American","$25,000-$50,000","Other","1","Yes","Somewhat agree","Somewhat agree","No","202151","R"
"Choice B","1971","College Degree","Female","White","$25,000-$50,000","Catholic","3","Yes","Somewhat agree","Somewhat agree","Yes","960570","C"
"Choice A","1976","College Degree","Female","Latino","$50,000-$75,000","Other","4","No","Strongly agree","Strongly agree","I do not know","531552","C"
"Choice A","1984","High school","Male","White","$25,000-$50,000","Other","8","No","Somewhat agree","Strongly agree","Yes","712975","N"
"Choice B","1980","Some college","Male","White","","None","2","Yes","Somewhat agree","Somewhat agree","No","575092","N"
"Choice A","1979","College Degree","Female","White","Greater than $75,000","None","2","Yes","Somewhat disagree","Neither agree nor disagree","Yes","434269","N"
"Choice A","1990","College Degree","Male","Black or African American","$25,000-$50,000","None","5","No","Neither agree nor disagree","Neither agree nor disagree","I do not know","925777","N"
"Choice B","1994","Some college","Male","Asian","$0-$25,000","None","6","Yes","Somewhat agree","Somewhat agree","Yes","874567","C"
"Choice B","1992","College Degree","Male","White","$0-$25,000","None","5","Yes","Neither agree nor disagree","Neither agree nor disagree","Yes","269727","R"
"Choice B","1962","High school","Female","White","$50,000-$75,000","Lutheran","7","Yes","Somewhat agree","Strongly disagree","No","343950","R"
"Choice B","1983","College Degree","Female","White","$25,000-$50,000","Other","9","Yes","Somewhat agree","Strongly disagree","No","111191","C"
"Choice B","1979","College Degree","Male","White","$50,000-$75,000","None","3","Yes","Somewhat disagree","Somewhat agree","No","139869","R"
"Choice B","1975","College Degree","Female","White","Greater than $75,000","Catholic","5","Yes","Somewhat agree","Neither agree nor disagree","Yes","746459","R"
"Choice B","1993","College Degree","Male","White","Greater than $75,000","None","5","No","Neither agree nor disagree","Somewhat agree","No","875459","R"
"Choice A","1982","Graduate or Professional Degree","Male","Black or African American","$50,000-$75,000","Catholic","2","Yes","Somewhat agree","Somewhat agree","No","781944","N"
"Choice B","1987","Graduate or Professional Degree","Male","White","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Somewhat agree","I do not know","907198","N"
"Choice B","1984","Graduate or Professional Degree","Female","Asian","$50,000-$75,000","Muslim","5","Yes","Strongly disagree","Somewhat agree","No","507091","R"
"Choice B","1979","Some college","Female","White","$25,000-$50,000","Protestan","8","Yes","Neither agree nor disagree","Neither agree nor disagree","No","250167","R"
"Choice A","1992","College Degree","","White","$0-$25,000","None","0","Yes","Somewhat agree","Strongly agree","I do not know","273427","R"
"Choice B","1992","High school","Female","White","$25,000-$50,000","None","0","Yes","Neither agree nor disagree","Strongly agree","Yes","741028","C"
"Choice A","1992","College Degree","Male","White","$25,000-$50,000","Protestan","3","No","Somewhat disagree","Somewhat agree","No","331515","C"
