"","city_w3","a1_w3","a4_w3","a6a_w3","a20a_w2","a20b_w2","a20c_w2","a20d_w2","a20e_w2","a21a_w2","a21b_w2","a21c_w2","a21d_w2","a21e_w2","b11a_w2","b11b_w2","b11c_w2","b11d_w2","b11e_w2","d12a_w2","d12b_w2","d12c_w2","d12d_w2","d12e_w2","d13a_w2","d13b_w2","d13c_w2","d13d_w2","d13e_w2","d14a_w2","d14b_w2","d14c_w2","d14d_w2","e17a_w2","e17b_w2","e17c_w2","e17d_w2","e17e_w2","k7_w3","sector1_w3","sector2_w3","sector3_w3","sector4_w3","sector5_w3","pa_w3","pt_w3","age_w3"
"173","Nanjing",1,1,14,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,50,0,0,0,0,1,"","b",52
"174","Nanjing",1,1,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,30,0,0,1,0,0,"a","",37
"175","Nanjing",1,1,15,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,1,0,0,"a","",34
"177","Nanjing",1,1,17,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,45,0,0,1,0,0,"a","",48
"178","Nanjing",0,1,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,120,0,0,1,0,0,"","b",42
"181","Nanjing",1,0,10,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,45,0,0,0,1,0,"","a",39
"182","Nanjing",1,0,12,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,25,0,1,0,0,0,"a","",44
"183","Nanjing",1,1,18,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,70,0,0,1,0,0,"a","",52
"186","Nanjing",1,1,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,40,0,1,0,0,0,"b","",49
"188","Nanjing",0,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,50,0,0,1,0,0,"","b",52
"192","Nanjing",1,1,11,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,100,1,0,0,0,0,"b","",50
"193","Nanjing",1,1,11,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,30,0,0,0,0,1,"a","",48
"194","Nanjing",1,0,18,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,50,0,0,0,0,1,"a","",62
"196","Nanjing",1,1,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,45,0,1,0,0,0,"","b",40
"197","Nanjing",1,1,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,30,0,1,0,0,0,"","a",56
"198","Nanjing",1,0,15,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,40,0,0,0,0,1,"","b",63
"199","Nanjing",1,0,16,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,70,0,0,0,0,1,"b","",40
"200","Nanjing",1,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,25,0,0,0,0,1,"b","",41
"201","Nanjing",1,0,14,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,30,0,1,0,0,0,"a","",43
"202","Nanjing",1,1,16,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,30,0,0,0,0,1,"","a",49
"203","Nanjing",1,1,14,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,35,0,1,0,0,0,"","a",34
"204","Nanjing",1,1,16,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,35,0,1,0,0,0,"","a",60
"205","Nanjing",1,1,14,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,75,0,1,0,0,0,"b","",48
"206","Nanjing",1,0,14,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,55,0,1,0,0,0,"b","",47
"207","Nanjing",1,1,9,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,45,0,0,0,0,1,"","a",47
"210","Nanjing",0,0,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,30,1,0,0,0,0,"","a",32
"211","Nanjing",1,1,16,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,50,0,0,0,0,1,"","a",65
"212","Nanjing",1,0,12,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,40,0,0,0,0,1,"","a",56
"214","Nanjing",1,1,15,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,30,0,0,0,0,1,"","a",50
"215","Nanjing",0,1,15,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,35,0,0,0,0,1,"a","",56
"216","Nanjing",1,0,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,40,0,1,0,0,0,"a","",57
"218","Nanjing",0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,50,0,0,0,0,1,"","b",48
"219","Nanjing",1,1,12,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,30,0,0,0,0,1,"a","",58
"221","Nanjing",1,1,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,35,0,0,0,0,1,"b","",56
"224","Nanjing",1,0,11,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,45,0,0,0,0,1,"b","",44
"225","Nanjing",1,0,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,35,1,0,0,0,0,"","a",42
"226","Nanjing",1,1,15,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,50,1,0,0,0,0,"","a",30
"228","Nanjing",0,0,15,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,20,0,1,0,0,0,"","a",43
"229","Nanjing",1,0,15,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,25,0,0,0,0,1,"","a",42
"230","Nanjing",0,1,12,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,30,1,0,0,0,0,"","b",50
"231","Nanjing",1,1,14,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,20,0,0,0,0,1,"a","",48
"233","Nanjing",1,1,13,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,30,0,0,0,0,1,"b","",48
"234","Nanjing",0,1,11,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,60,0,0,0,0,1,"a","",66
"235","Nanjing",1,1,14,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,30,0,1,0,0,0,"","a",52
"236","Nanjing",0,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,35,1,0,0,0,0,"","b",48
"237","Nanjing",1,0,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,30,0,1,0,0,0,"a","",30
"238","Nanjing",1,0,15,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,15,0,0,0,0,1,"","a",42
"239","Nanjing",1,0,15,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,120,1,0,0,0,0,"b","",37
"240","Nanjing",1,1,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,120,0,0,0,0,1,"b","",37
"242","Nanjing",1,0,15,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,30,0,1,0,0,0,"","b",56
"243","Nanjing",1,0,9,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,65,0,0,0,0,1,"a","",42
"245","Nanjing",1,0,15,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,35,0,0,0,1,0,"","b",40
"246","Nanjing",1,0,12,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,20,0,0,0,0,1,"","b",48
"247","Nanjing",1,0,15,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,20,0,0,0,0,1,"b","",34
"248","Nanjing",1,1,15,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,30,0,0,0,0,1,"a","",39
"249","Nanjing",1,1,16,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,20,0,0,0,0,1,"a","",47
"251","Nanjing",1,1,15,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,15,0,0,0,0,1,"","a",43
"253","Nanjing",1,1,14,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,35,0,1,0,0,0,"b","",38
"254","Nanjing",1,0,14,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,20,0,0,0,0,1,"b","",42
"255","Nanjing",1,0,16,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,45,0,1,0,0,0,"a","",40
"258","Nanjing",1,1,15,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,20,0,0,1,0,0,"","a",34
"259","Nanjing",1,1,15,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,35,0,0,1,0,0,"","b",33
"262","Nanjing",1,1,15,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,0,0,1,0,0,"","a",44
"263","Nanjing",1,1,16,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,25,0,0,1,0,0,"","a",30
"267","Nanjing",0,1,14,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,40,1,0,0,0,0,"a","",40
"408","Changzhou",1,1,16,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,30,0,0,1,0,0,"","b",52
"409","Changzhou",1,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,35,0,0,0,0,1,"","b",44
"410","Changzhou",1,0,12,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,25,0,0,1,0,0,"","a",45
"412","Changzhou",0,1,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,40,0,0,0,1,0,"a","",56
"413","Changzhou",1,1,15,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,60,0,0,1,0,0,"b","",48
"414","Changzhou",1,1,16,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,25,0,1,0,0,0,"a","",45
"416","Changzhou",1,0,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,1,0,"","b",48
"418","Changzhou",1,0,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,35,0,0,0,1,0,"","b",35
"419","Changzhou",1,1,15,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,35,0,0,1,0,0,"b","",43
"420","Changzhou",1,1,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,65,0,0,0,0,1,"b","",44
"421","Changzhou",1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,20,0,0,1,0,0,"a","",47
"422","Changzhou",1,1,11,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,40,0,1,0,0,0,"b","",44
"423","Changzhou",1,0,15,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,25,0,0,0,1,0,"","b",47
"424","Changzhou",1,1,14,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,25,1,0,0,0,0,"","b",47
"425","Changzhou",1,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,25,0,1,0,0,0,"","a",43
"427","Changzhou",1,1,16,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,130,0,0,0,1,0,"a","",65
"428","Changzhou",1,0,13,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,40,0,0,1,0,0,"b","",47
"429","Changzhou",1,0,16,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,25,0,0,0,1,0,"b","",57
"430","Changzhou",1,0,12,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,35,0,0,0,0,1,"b","",37
"431","Changzhou",0,0,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,30,0,0,0,0,1,"","b",48
"432","Changzhou",1,1,12,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,25,0,1,0,0,0,"","b",56
"434","Changzhou",1,1,11,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,140,0,0,0,1,0,"a","",38
"435","Changzhou",1,0,12,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,30,0,0,0,1,0,"b","",49
"436","Changzhou",1,1,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,25,0,0,0,1,0,"","a",36
"437","Changzhou",1,1,15,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,28,0,0,0,0,1,"","b",53
"438","Changzhou",1,1,13,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,20,0,0,1,0,0,"","a",37
"439","Changzhou",1,1,14,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20,0,0,1,0,0,"a","",50
"440","Changzhou",1,0,16,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,180,1,0,0,0,0,"b","",44
"441","Changzhou",1,0,15,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,40,1,0,0,0,0,"a","",50
"442","Changzhou",1,0,11,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,20,0,0,0,0,1,"","b",42
"443","Changzhou",1,0,12,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,40,0,0,1,0,0,"a","",69
"444","Changzhou",1,0,12,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,40,1,0,0,0,0,"","b",44
"447","Changzhou",0,0,14,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,50,0,0,1,0,0,"b","",33
"450","Changzhou",1,1,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,25,1,0,0,0,0,"","a",60
"452","Changzhou",1,1,15,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,20,0,0,1,0,0,"","b",50
"454","Changzhou",1,0,8,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,35,0,0,0,0,1,"b","",36
"455","Changzhou",1,0,15,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,30,0,0,0,1,0,"a","",36
"458","Changzhou",1,1,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,25,1,0,0,0,0,"","a",36
